# reactions: 11
Time	PLac	RNAP	PLacRNAP	TrLacZ1	RbsLacZ	TrLacZ2	Ribosome	RbsRibosome	TrRbsLacZ	LacZ	dgrLacZ	dgrRbsLacZ	Fired Reaction
7.357102776313392	0.0	33.0	1.0	0.0	0.0	1.0	348.0	1.0	1.0	0.0	0.0	0.0	 1
7.379905438822987	1.0	34.0	0.0	0.0	0.0	1.0	348.0	1.0	1.0	0.0	0.0	0.0	 2
7.740538295451858	0.0	33.0	1.0	0.0	0.0	1.0	348.0	1.0	1.0	0.0	0.0	0.0	 1
7.893258676584697	1.0	34.0	0.0	0.0	0.0	1.0	348.0	1.0	1.0	0.0	0.0	0.0	 2
8.147524872449095	0.0	33.0	1.0	0.0	0.0	1.0	348.0	1.0	1.0	0.0	0.0	0.0	 1
8.342367339284271	1.0	34.0	0.0	0.0	0.0	1.0	348.0	1.0	1.0	0.0	0.0	0.0	 2
8.379187336294054	0.0	33.0	1.0	0.0	0.0	1.0	348.0	1.0	1.0	0.0	0.0	0.0	 1
8.42563896672698	1.0	34.0	0.0	0.0	0.0	1.0	348.0	1.0	1.0	0.0	0.0	0.0	 2
8.546557516709289	0.0	33.0	1.0	0.0	0.0	1.0	348.0	1.0	1.0	0.0	0.0	0.0	 1
8.602210383074155	1.0	34.0	0.0	0.0	0.0	1.0	348.0	1.0	1.0	0.0	0.0	0.0	 2
9.070512875862434	0.0	33.0	1.0	0.0	0.0	1.0	348.0	1.0	1.0	0.0	0.0	0.0	 1
9.07257904787813	0.0	33.0	1.0	0.0	1.0	1.0	349.0	0.0	1.0	0.0	0.0	0.0	 7
9.07906925317052	0.0	33.0	1.0	0.0	0.0	1.0	348.0	1.0	1.0	0.0	0.0	0.0	 6
9.601526480659707	1.0	34.0	0.0	0.0	0.0	1.0	348.0	1.0	1.0	0.0	0.0	0.0	 2
9.938055870283867	0.0	33.0	1.0	0.0	0.0	1.0	348.0	1.0	1.0	0.0	0.0	0.0	 1
9.96492786439056	1.0	34.0	0.0	0.0	0.0	1.0	348.0	1.0	1.0	0.0	0.0	0.0	 2
10.022024210435614	0.0	33.0	1.0	0.0	0.0	1.0	348.0	1.0	1.0	0.0	0.0	0.0	 1
10.038125956766788	1.0	34.0	0.0	0.0	0.0	1.0	348.0	1.0	1.0	0.0	0.0	0.0	 2
10.06687387223509	0.0	33.0	1.0	0.0	0.0	1.0	348.0	1.0	1.0	0.0	0.0	0.0	 1
10.10932534129981	1.0	34.0	0.0	0.0	0.0	1.0	348.0	1.0	1.0	0.0	0.0	0.0	 2
10.337059752432815	0.0	33.0	1.0	0.0	0.0	1.0	348.0	1.0	1.0	0.0	0.0	0.0	 1
10.428081998172331	1.0	34.0	0.0	0.0	0.0	1.0	348.0	1.0	1.0	0.0	0.0	0.0	 2
10.431120274671486	0.0	33.0	1.0	0.0	0.0	1.0	348.0	1.0	1.0	0.0	0.0	0.0	 1
10.838618387526122	1.0	34.0	0.0	0.0	0.0	1.0	348.0	1.0	1.0	0.0	0.0	0.0	 2
10.955276046714264	0.0	33.0	1.0	0.0	0.0	1.0	348.0	1.0	1.0	0.0	0.0	0.0	 1
11.045437111704079	0.0	33.0	1.0	0.0	1.0	1.0	348.0	0.0	2.0	0.0	0.0	0.0	 8
11.052777582696672	0.0	33.0	1.0	0.0	0.0	1.0	347.0	1.0	2.0	0.0	0.0	0.0	 6
11.281046031892185	1.0	34.0	0.0	0.0	0.0	1.0	347.0	1.0	2.0	0.0	0.0	0.0	 2
11.291149986355975	0.0	33.0	1.0	0.0	0.0	1.0	347.0	1.0	2.0	0.0	0.0	0.0	 1
11.314484783627568	1.0	34.0	0.0	0.0	0.0	1.0	347.0	1.0	2.0	0.0	0.0	0.0	 2
11.410975296365024	0.0	33.0	1.0	0.0	0.0	1.0	347.0	1.0	2.0	0.0	0.0	0.0	 1
11.45847504131158	1.0	34.0	0.0	0.0	0.0	1.0	347.0	1.0	2.0	0.0	0.0	0.0	 2
11.68643633552633	0.0	33.0	1.0	0.0	0.0	1.0	347.0	1.0	2.0	0.0	0.0	0.0	 1
11.893768298662412	1.0	34.0	0.0	0.0	0.0	1.0	347.0	1.0	2.0	0.0	0.0	0.0	 2
11.917593352262383	0.0	33.0	1.0	0.0	0.0	1.0	347.0	1.0	2.0	0.0	0.0	0.0	 1
12.033199517106764	1.0	34.0	0.0	0.0	0.0	1.0	347.0	1.0	2.0	0.0	0.0	0.0	 2
12.089443389188492	0.0	33.0	1.0	0.0	0.0	1.0	347.0	1.0	2.0	0.0	0.0	0.0	 1
12.093549906019392	1.0	34.0	0.0	0.0	0.0	1.0	347.0	1.0	2.0	0.0	0.0	0.0	 2
12.146633888883832	0.0	33.0	1.0	0.0	0.0	1.0	347.0	1.0	2.0	0.0	0.0	0.0	 1
12.25433702505121	1.0	34.0	0.0	0.0	0.0	1.0	347.0	1.0	2.0	0.0	0.0	0.0	 2
12.2584823825848	1.0	34.0	0.0	0.0	1.0	1.0	348.0	0.0	2.0	0.0	0.0	0.0	 7
12.280912941999372	1.0	34.0	0.0	0.0	0.0	1.0	347.0	1.0	2.0	0.0	0.0	0.0	 6
12.327380564519894	0.0	33.0	1.0	0.0	0.0	1.0	347.0	1.0	2.0	0.0	0.0	0.0	 1
12.377518178502296	1.0	34.0	0.0	0.0	0.0	1.0	347.0	1.0	2.0	0.0	0.0	0.0	 2
12.426130378892488	0.0	33.0	1.0	0.0	0.0	1.0	347.0	1.0	2.0	0.0	0.0	0.0	 1
12.456791863493878	1.0	34.0	0.0	0.0	0.0	1.0	347.0	1.0	2.0	0.0	0.0	0.0	 2
12.674628623909223	1.0	34.0	0.0	0.0	1.0	1.0	348.0	0.0	2.0	0.0	0.0	0.0	 7
12.69642153343945	1.0	34.0	0.0	0.0	0.0	1.0	347.0	1.0	2.0	0.0	0.0	0.0	 6
13.055486475562772	0.0	33.0	1.0	0.0	0.0	1.0	347.0	1.0	2.0	0.0	0.0	0.0	 1
13.181848066446012	1.0	34.0	0.0	0.0	0.0	1.0	347.0	1.0	2.0	0.0	0.0	0.0	 2
13.187027954014868	0.0	33.0	1.0	0.0	0.0	1.0	347.0	1.0	2.0	0.0	0.0	0.0	 1
13.223806422511627	1.0	34.0	0.0	0.0	0.0	1.0	347.0	1.0	2.0	0.0	0.0	0.0	 2
13.236408667581673	0.0	33.0	1.0	0.0	0.0	1.0	347.0	1.0	2.0	0.0	0.0	0.0	 1
13.24110928462067	0.0	33.0	1.0	0.0	1.0	1.0	347.0	0.0	3.0	0.0	0.0	0.0	 8
13.24478084154612	0.0	33.0	1.0	0.0	0.0	1.0	346.0	1.0	3.0	0.0	0.0	0.0	 6
13.269741578760739	1.0	34.0	0.0	0.0	0.0	1.0	346.0	1.0	3.0	0.0	0.0	0.0	 2
13.312592780445904	1.0	34.0	0.0	0.0	1.0	1.0	347.0	0.0	3.0	0.0	0.0	0.0	 7
13.32579003625701	1.0	34.0	0.0	0.0	0.0	1.0	346.0	1.0	3.0	0.0	0.0	0.0	 6
13.449168802148131	0.0	33.0	1.0	0.0	0.0	1.0	346.0	1.0	3.0	0.0	0.0	0.0	 1
13.544629405927305	0.0	33.0	1.0	0.0	1.0	1.0	346.0	0.0	4.0	0.0	0.0	0.0	 8
13.555454857410801	0.0	33.0	1.0	0.0	0.0	1.0	345.0	1.0	4.0	0.0	0.0	0.0	 6
13.583579453326482	1.0	34.0	0.0	0.0	0.0	1.0	345.0	1.0	4.0	0.0	0.0	0.0	 2
13.618155504120248	0.0	33.0	1.0	0.0	0.0	1.0	345.0	1.0	4.0	0.0	0.0	0.0	 1
13.741792327404355	0.0	33.0	0.0	1.0	0.0	1.0	345.0	1.0	4.0	0.0	0.0	0.0	 3
14.360516534990209	1.0	33.0	0.0	0.0	1.0	2.0	345.0	1.0	4.0	0.0	0.0	0.0	 4
14.384279716225619	1.0	33.0	0.0	0.0	0.0	2.0	344.0	2.0	4.0	0.0	0.0	0.0	 6
14.396177686661822	1.0	33.0	0.0	0.0	1.0	2.0	344.0	1.0	5.0	0.0	0.0	0.0	 8
14.421321216988137	1.0	33.0	0.0	0.0	0.0	2.0	343.0	2.0	5.0	0.0	0.0	0.0	 6
14.45700361289946	0.0	32.0	1.0	0.0	0.0	2.0	343.0	2.0	5.0	0.0	0.0	0.0	 1
14.549673885776158	1.0	33.0	0.0	0.0	0.0	2.0	343.0	2.0	5.0	0.0	0.0	0.0	 2
14.603557676809219	0.0	32.0	1.0	0.0	0.0	2.0	343.0	2.0	5.0	0.0	0.0	0.0	 1
14.612876265937746	1.0	33.0	0.0	0.0	0.0	2.0	343.0	2.0	5.0	0.0	0.0	0.0	 2
14.614180110354818	0.0	32.0	1.0	0.0	0.0	2.0	343.0	2.0	5.0	0.0	0.0	0.0	 1
14.616250517877901	1.0	33.0	0.0	0.0	0.0	2.0	343.0	2.0	5.0	0.0	0.0	0.0	 2
14.81527090395736	0.0	32.0	1.0	0.0	0.0	2.0	343.0	2.0	5.0	0.0	0.0	0.0	 1
14.931301091370678	1.0	33.0	0.0	0.0	0.0	2.0	343.0	2.0	5.0	0.0	0.0	0.0	 2
15.076690542758605	1.0	33.0	0.0	0.0	1.0	2.0	343.0	1.0	6.0	0.0	0.0	0.0	 8
15.109697169279158	0.0	32.0	1.0	0.0	1.0	2.0	343.0	1.0	6.0	0.0	0.0	0.0	 1
15.155869470422443	0.0	32.0	1.0	0.0	0.0	2.0	342.0	2.0	6.0	0.0	0.0	0.0	 6
15.168617723337267	1.0	33.0	0.0	0.0	0.0	2.0	342.0	2.0	6.0	0.0	0.0	0.0	 2
15.246025309219178	0.0	32.0	1.0	0.0	0.0	2.0	342.0	2.0	6.0	0.0	0.0	0.0	 1
15.341010733274674	0.0	32.0	0.0	1.0	0.0	2.0	342.0	2.0	6.0	0.0	0.0	0.0	 3
